,airline,source,destination,departure_time,arrival_time,duration,total_stops,price,day_of_journey,month_of_journey
34,Jet_Airways,Delhi,Cochin,07:05:00,12:35:00,330,1,12373,18,5
35,Indigo,Delhi,Cochin,10:35:00,21:00:00,625,1,5894,27,6
36,Spicejet,Kolkata,Banglore,15:05:00,20:20:00,315,1,4649,21,5
37,Air_India,Kolkata,Banglore,14:15:00,16:45:00,150,0,6245,18,5
38,Jet_Airways,Banglore,Delhi,07:00:00,13:15:00,375,1,19225,6,3
39,Jet_Airways,Delhi,Cochin,07:05:00,19:00:00,715,1,14924,3,6
40,Multiple_Carriers,Delhi,Cochin,07:05:00,18:10:00,665,1,9646,21,5
41,Air_India,Banglore,Delhi,06:45:00,15:15:00,510,1,8714,15,3
42,Jet_Airways,Delhi,Cochin,20:55:00,19:00:00,1325,1,12373,18,5
43,Air_Asia,Banglore,Delhi,11:10:00,13:55:00,165,0,3383,6,5
44,Multiple_Carriers,Delhi,Cochin,09:00:00,21:00:00,720,1,13062,21,3
45,Spicejet,Banglore,Delhi,05:45:00,08:35:00,170,0,3527,24,3
46,Indigo,Banglore,Delhi,04:00:00,06:50:00,170,0,3943,27,5
47,Air_India,Chennai,Kolkata,11:40:00,13:55:00,135,0,4667,3,5
48,Air_India,Kolkata,Banglore,19:00:00,11:05:00,965,1,6117,15,5
49,Jet_Airways,Delhi,Cochin,23:05:00,19:00:00,1195,2,11150,27,6
50,Jet_Airways,Delhi,Cochin,11:00:00,14:15:00,195,0,7202,9,3
51,Jet_Airways,Kolkata,Banglore,09:35:00,10:55:00,1520,1,12121,1,5
52,Indigo,Banglore,Delhi,22:20:00,01:10:00,170,0,4377,24,3
53,Indigo,Banglore,Delhi,21:15:00,00:15:00,180,0,3943,18,6
54,Air_Asia,Banglore,Delhi,23:55:00,02:45:00,170,0,4483,3,4
55,Jet_Airways,Kolkata,Banglore,19:45:00,12:00:00,975,1,14231,24,3
56,Air_India,Banglore,Delhi,08:50:00,23:55:00,905,2,17345,1,3
57,Vistara,Chennai,Kolkata,07:05:00,09:20:00,135,0,7414,6,3
58,Multiple_Carriers,Delhi,Cochin,19:00:00,01:30:00,390,1,8073,6,5
59,Vistara,Mumbai,Hyderabad,15:40:00,16:45:00,1505,1,12395,6,3
60,Air_India,Kolkata,Banglore,09:25:00,21:50:00,745,1,8366,6,6
61,Air_India,Delhi,Cochin,06:05:00,09:25:00,1640,1,5117,3,4
62,Multiple_Carriers,Delhi,Cochin,08:45:00,19:00:00,615,1,12524,3,6
63,Indigo,Delhi,Cochin,15:00:00,01:30:00,630,1,7191,15,5
64,Vistara,Chennai,Kolkata,07:05:00,09:20:00,135,0,3687,24,5
65,Indigo,Delhi,Cochin,10:35:00,21:00:00,625,1,5894,24,6
66,Vistara,Banglore,Delhi,09:45:00,12:35:00,170,0,5403,24,4
67,Air_India,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,3625,6,5
68,Air_India,Delhi,Cochin,05:55:00,19:15:00,800,2,10861,21,5
69,Indigo,Chennai,Kolkata,13:20:00,15:35:00,135,0,6297,12,3
70,Jet_Airways,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,5678,1,6
71,Jet_Airways,Banglore,Delhi,05:45:00,08:15:00,1590,1,9134,9,3
72,Multiple_Carriers,Delhi,Cochin,11:40:00,19:00:00,440,1,10791,24,6
73,Jet_Airways,Delhi,Cochin,23:05:00,12:35:00,810,2,12819,24,6
74,Indigo,Delhi,Cochin,05:05:00,10:05:00,300,1,6893,21,3
75,Vistara,Banglore,Delhi,09:50:00,12:35:00,165,0,7240,9,3
76,Goair,Banglore,Delhi,11:40:00,14:30:00,170,0,3898,3,4
77,Indigo,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,4049,3,4
78,Jet_Airways,Delhi,Cochin,17:30:00,12:35:00,1145,1,10262,15,6
79,Spicejet,Chennai,Kolkata,08:20:00,10:35:00,135,0,3332,21,3
80,Jet_Airways,Kolkata,Banglore,21:10:00,12:00:00,890,1,10844,9,6
81,Jet_Airways,Banglore,Delhi,19:55:00,22:35:00,160,0,7229,24,3
82,Jet_Airways,Kolkata,Banglore,06:30:00,04:40:00,1330,1,13941,6,5
83,Indigo,Delhi,Cochin,11:25:00,21:00:00,575,1,5894,27,6
84,Multiple_Carriers,Delhi,Cochin,09:00:00,19:00:00,600,1,10197,18,5
85,Jet_Airways,Banglore,Delhi,14:05:00,11:25:00,1280,1,13712,6,3
86,Indigo,Delhi,Cochin,02:00:00,07:25:00,325,1,5636,24,6
87,Jet_Airways,Delhi,Cochin,09:40:00,04:25:00,1125,2,13014,6,6
88,Jet_Airways,Kolkata,Banglore,08:25:00,20:45:00,740,1,7064,1,4
89,Jet_Airways,Kolkata,Banglore,20:25:00,14:25:00,1080,1,10703,24,5
90,Multiple_Carriers,Delhi,Cochin,13:15:00,22:30:00,555,1,9646,27,5
91,Multiple_Carriers,Delhi,Cochin,02:15:00,13:20:00,665,1,17057,6,3
92,Jet_Airways,Banglore,Delhi,16:55:00,10:25:00,1050,1,13817,12,3
93,Air_India,Delhi,Cochin,05:55:00,19:15:00,800,2,13748,6,3
94,Air_India,Kolkata,Banglore,20:45:00,23:20:00,155,0,4880,21,4
95,Indigo,Chennai,Kolkata,05:15:00,07:40:00,145,0,3540,21,6
96,Spicejet,Banglore,Delhi,05:55:00,08:35:00,160,0,3257,15,5
97,Jet_Airways,Banglore,Delhi,19:50:00,22:50:00,180,0,6478,3,6
98,Jet_Airways,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,8040,18,6
99,Jet_Airways,Delhi,Cochin,20:00:00,12:35:00,995,2,14300,12,6
100,Jet_Airways,Kolkata,Banglore,08:25:00,20:45:00,740,1,14781,15,5
101,Jet_Airways,Kolkata,Banglore,20:00:00,08:15:00,735,1,14939,9,6
102,Jet_Airways,Delhi,Cochin,20:55:00,04:25:00,450,1,10262,24,6
103,Air_India,Kolkata,Banglore,14:35:00,14:35:00,1440,1,6528,12,5
104,Air_India,Banglore,Delhi,06:10:00,08:55:00,165,0,6121,1,5
105,Jet_Airways,Delhi,Cochin,19:30:00,04:25:00,535,2,13029,18,5
106,Multiple_Carriers,Delhi,Cochin,11:40:00,18:50:00,430,1,11421,27,3
107,Multiple_Carriers,Delhi,Cochin,04:45:00,19:15:00,870,1,7574,27,3
108,Air_India,Delhi,Cochin,12:55:00,19:15:00,1820,2,11596,9,5
109,Jet_Airways,Delhi,Cochin,23:05:00,19:00:00,1195,2,15129,24,5
110,Jet_Airways,Banglore,Delhi,14:05:00,05:05:00,900,1,13555,18,3
111,Indigo,Banglore,Delhi,18:55:00,21:50:00,175,0,5780,12,4
112,Vistara,Kolkata,Banglore,20:20:00,09:05:00,765,1,9397,12,5
113,Jet_Airways,Delhi,Cochin,18:15:00,04:25:00,610,1,17024,6,3
114,Goair,Delhi,Cochin,07:00:00,12:55:00,355,1,5281,27,6
115,Multiple_Carriers,Delhi,Cochin,07:05:00,22:30:00,925,1,10348,18,5
116,Air_India,Delhi,Cochin,17:20:00,09:25:00,965,1,12677,6,3
117,Multiple_Carriers,Delhi,Cochin,15:25:00,01:35:00,610,1,15147,3,3
118,Vistara,Banglore,Delhi,07:00:00,09:40:00,160,0,4668,12,6
119,Jet_Airways,Delhi,Cochin,07:05:00,19:00:00,715,1,15554,9,5
120,Spicejet,Banglore,Delhi,05:55:00,08:35:00,160,0,3971,9,4
121,Air_India,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,3100,3,5
122,Jet_Airways,Kolkata,Banglore,20:00:00,10:05:00,845,1,9663,6,5
123,Air_India,Delhi,Cochin,23:00:00,19:15:00,1215,1,27430,1,3
124,Indigo,Chennai,Kolkata,05:15:00,07:40:00,145,0,3540,12,5
125,Air_India,Kolkata,Banglore,12:00:00,11:10:00,1390,2,10676,21,5
126,Jet_Airways,Kolkata,Banglore,14:05:00,08:15:00,1090,1,13044,12,6
127,Jet_Airways,Kolkata,Banglore,20:00:00,12:00:00,960,1,14388,6,5
128,Indigo,Banglore,Delhi,04:00:00,06:50:00,170,0,3943,24,6
129,Indigo,Chennai,Kolkata,14:45:00,17:05:00,140,0,3597,3,6
130,Air_India,Banglore,Delhi,11:50:00,19:50:00,480,1,5932,21,3
131,Jet_Airways,Delhi,Cochin,11:30:00,04:25:00,1015,1,10262,15,6
132,Vistara,Delhi,Cochin,14:40:00,17:50:00,190,0,6216,12,5
133,Indigo,Kolkata,Banglore,20:25:00,23:10:00,165,0,4804,15,6
134,Multiple_Carriers,Delhi,Cochin,11:30:00,01:30:00,840,1,14067,21,5
135,Jet_Airways,Delhi,Cochin,19:10:00,19:00:00,1430,2,15129,18,5
136,Jet_Airways,Delhi,Cochin,06:45:00,04:25:00,1300,2,13376,6,6
137,Air_India,Delhi,Cochin,22:00:00,19:15:00,1275,2,10441,27,6
138,Jet_Airways,Banglore,Delhi,06:00:00,08:45:00,165,0,4030,24,5
139,Jet_Airways,Delhi,Cochin,08:00:00,18:50:00,650,1,17024,3,3
140,Multiple_Carriers,Delhi,Cochin,17:30:00,01:30:00,480,1,13017,9,4
141,Goair,Kolkata,Banglore,23:30:00,07:45:00,495,1,6686,6,6
142,Indigo,Delhi,Cochin,02:00:00,07:25:00,325,1,5636,15,6
143,Indigo,Delhi,Cochin,07:35:00,16:10:00,515,1,6442,9,6
144,Multiple_Carriers,Delhi,Cochin,13:05:00,00:55:00,710,1,9486,21,5
145,Jet_Airways,Kolkata,Banglore,20:00:00,23:35:00,1655,1,10844,21,5
146,Jet_Airways,Delhi,Cochin,20:00:00,04:25:00,505,2,15318,3,6
147,Air_India,Delhi,Cochin,12:30:00,09:25:00,1255,1,5117,3,4
148,Indigo,Delhi,Cochin,15:10:00,20:00:00,290,1,6147,24,6
149,Multiple_Carriers,Delhi,Cochin,12:50:00,21:00:00,490,1,7005,9,6
150,Spicejet,Kolkata,Banglore,22:20:00,00:40:00,140,0,3873,3,4
151,Jet_Airways,Delhi,Cochin,18:25:00,18:50:00,1465,2,9270,21,3
152,Goair,Banglore,Delhi,11:40:00,14:30:00,170,0,3898,27,6
153,Jet_Airways,Kolkata,Banglore,08:25:00,20:45:00,740,1,14781,12,5
154,Jet_Airways,Kolkata,Banglore,20:00:00,08:15:00,735,1,8586,24,5
155,Air_India,Kolkata,Banglore,08:20:00,07:55:00,1415,2,10697,9,5
156,Jet_Airways,Delhi,Cochin,20:00:00,12:35:00,995,2,14300,27,6
157,Indigo,Banglore,Delhi,18:55:00,21:45:00,170,0,8855,3,3
158,Jet_Airways,Kolkata,Banglore,16:30:00,18:15:00,1545,1,10844,12,5
159,Jet_Airways,Delhi,Cochin,02:15:00,04:25:00,1570,1,17024,6,3
160,Jet_Airways,Kolkata,Banglore,09:35:00,14:25:00,1730,1,9314,1,5
161,Indigo,Banglore,Delhi,00:40:00,03:25:00,165,0,4777,24,3
162,Air_India,Kolkata,Banglore,12:00:00,13:15:00,1515,1,7662,9,6
163,Indigo,Delhi,Cochin,06:50:00,16:10:00,560,1,6442,9,5
164,Spicejet,Delhi,Cochin,08:45:00,13:15:00,270,1,5264,12,6
165,Jet_Airways,Delhi,Cochin,13:00:00,04:25:00,925,1,12898,27,5
166,Air_India,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,6092,3,3
167,Spicejet,Banglore,Delhi,05:55:00,08:35:00,160,0,3311,21,5
168,Jet_Airways,Delhi,Cochin,19:15:00,04:25:00,550,1,6540,27,3
169,Indigo,Banglore,Delhi,01:30:00,04:15:00,165,0,3419,27,5
170,Jet_Airways,Delhi,Cochin,14:00:00,12:35:00,1355,1,5177,3,4
171,Air_India,Delhi,Cochin,18:05:00,21:10:00,185,0,8246,18,4
172,Jet_Airways,Kolkata,Banglore,09:35:00,21:05:00,690,1,14676,9,6
173,Multiple_Carriers,Delhi,Cochin,11:30:00,21:00:00,570,1,13587,27,6
174,Jet_Airways,Kolkata,Banglore,21:10:00,09:20:00,730,1,9663,6,5
175,Jet_Airways,Kolkata,Banglore,16:30:00,10:05:00,1055,1,13044,12,6
176,Indigo,Delhi,Cochin,20:25:00,01:30:00,305,1,5073,3,4
177,Vistara,Kolkata,Banglore,17:00:00,18:50:00,1550,1,9345,21,5
178,Jet_Airways,Kolkata,Banglore,14:05:00,10:05:00,1200,1,9663,6,5
179,Multiple_Carriers,Delhi,Cochin,08:00:00,21:00:00,780,1,14277,21,5
180,Jet_Airways,Delhi,Cochin,10:00:00,04:25:00,1105,1,10262,1,6
181,Jet_Airways,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,5678,27,3
182,Multiple_Carriers,Delhi,Cochin,16:00:00,01:30:00,570,1,13727,15,5
183,Jet_Airways,Kolkata,Banglore,20:00:00,12:00:00,960,1,9663,6,5
184,Indigo,Chennai,Kolkata,14:45:00,17:05:00,140,0,3858,12,5
185,Spicejet,Delhi,Cochin,08:45:00,13:15:00,270,1,4812,24,6
186,Indigo,Delhi,Cochin,21:50:00,03:35:00,345,1,5775,27,6
187,Jet_Airways,Kolkata,Banglore,09:35:00,09:45:00,1450,1,10539,6,6
188,Indigo,Kolkata,Banglore,15:30:00,18:05:00,155,0,4804,3,6
189,Air_Asia,Banglore,Delhi,11:10:00,13:55:00,165,0,3383,12,6
190,Indigo,Banglore,Delhi,12:10:00,17:05:00,295,1,8738,3,3
191,Air_India,Delhi,Cochin,05:15:00,06:50:00,1535,1,7165,27,3
192,Indigo,Delhi,Cochin,16:10:00,22:30:00,380,1,6412,24,6
193,Jet_Airways,Banglore,Delhi,18:55:00,22:00:00,185,0,8016,27,6
194,Jet_Airways,Banglore,Delhi,20:35:00,15:15:00,1120,1,11087,12,3
195,Spicejet,Chennai,Kolkata,09:45:00,12:00:00,135,0,3543,27,6
196,Jet_Airways,Kolkata,Banglore,16:30:00,04:40:00,730,1,12471,12,6
197,Jet_Airways,Delhi,Cochin,09:00:00,04:25:00,1165,1,10262,24,6
198,Air_India,Banglore,Delhi,13:20:00,16:10:00,170,0,4441,18,3
199,Multiple_Carriers,Delhi,Cochin,07:05:00,15:30:00,505,1,12537,27,3
200,Goair,Kolkata,Banglore,22:25:00,07:40:00,555,1,10091,24,3
201,Air_India,Banglore,Delhi,21:05:00,23:55:00,170,0,6961,3,6
202,Indigo,Delhi,Cochin,05:35:00,08:50:00,195,0,5013,24,4
203,Air_India,Delhi,Cochin,05:10:00,08:00:00,170,0,6934,18,5
204,Multiple_Carriers,Delhi,Cochin,06:40:00,19:00:00,740,1,10877,3,6
205,Jet_Airways,Banglore,Delhi,15:15:00,18:10:00,175,0,7229,18,4
206,Indigo,Delhi,Cochin,16:00:00,01:35:00,575,1,7048,27,3
207,Vistara,Banglore,Delhi,17:00:00,19:35:00,155,0,4878,27,6
208,Jet_Airways,Kolkata,Banglore,14:05:00,23:35:00,570,1,10844,21,5
209,Jet_Airways,Delhi,Cochin,23:05:00,04:25:00,1760,2,15129,18,5
210,Indigo,Banglore,Delhi,00:30:00,03:25:00,175,0,3943,12,5
211,Spicejet,Delhi,Cochin,06:05:00,11:20:00,315,1,5583,6,6
212,Multiple_Carriers,Delhi,Cochin,07:05:00,16:10:00,545,1,9646,6,6
213,Multiple_Carriers,Delhi,Cochin,08:30:00,19:15:00,645,1,7677,3,6
214,Indigo,Delhi,Cochin,05:10:00,10:05:00,295,1,6842,1,6
215,Jet_Airways,Mumbai,Hyderabad,08:45:00,10:15:00,90,0,4995,24,6
216,Vistara,Kolkata,Banglore,07:10:00,18:50:00,700,1,9555,9,6
217,Indigo,Banglore,Delhi,01:30:00,04:15:00,165,0,4077,1,6
218,Jet_Airways,Banglore,Delhi,15:15:00,18:10:00,175,0,7229,12,5
219,Multiple_Carriers,Delhi,Cochin,09:00:00,19:00:00,600,1,12192,9,6
220,Air_India,Banglore,Delhi,10:00:00,12:45:00,165,0,5911,12,4
221,Air_India,Delhi,Cochin,09:00:00,19:15:00,615,1,8372,12,6
222,Jet_Airways,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,4995,18,3
223,Multiple_Carriers,Delhi,Cochin,10:00:00,19:15:00,555,1,14323,9,5
224,Jet_Airways,Delhi,Cochin,05:30:00,04:25:00,1375,2,13014,9,6
225,Air_India,Delhi,Cochin,14:25:00,19:15:00,1730,2,13591,6,6
226,Jet_Airways,Delhi,Cochin,05:25:00,18:50:00,2245,2,18799,3,3
227,Indigo,Banglore,Delhi,23:30:00,02:20:00,170,0,3943,27,4
228,Spicejet,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,1965,21,5
229,Jet_Airways,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,4995,27,5
230,Air_India,Kolkata,Banglore,16:50:00,18:30:00,1540,1,14641,24,3
231,Air_India,Kolkata,Banglore,20:45:00,23:20:00,155,0,4460,12,4
232,Air_India,Delhi,Cochin,13:00:00,19:15:00,375,1,10191,18,5
233,Jet_Airways,Delhi,Cochin,02:15:00,19:45:00,1050,1,13843,9,3
234,Indigo,Delhi,Cochin,21:50:00,03:35:00,345,1,6349,1,5
235,Air_Asia,Kolkata,Banglore,10:20:00,12:55:00,155,0,4409,1,5
236,Jet_Airways,Delhi,Cochin,18:15:00,19:45:00,1530,1,17024,6,3
237,Multiple_Carriers,Delhi,Cochin,07:05:00,21:00:00,835,1,13727,18,5
238,Indigo,Banglore,Delhi,18:25:00,21:20:00,175,0,8855,15,3
239,Multiple_Carriers,Delhi,Cochin,08:45:00,19:00:00,615,1,12524,24,6
240,Jet_Airways,Banglore,Delhi,11:40:00,20:20:00,520,1,13555,18,3
241,Jet_Airways,Kolkata,Banglore,06:30:00,12:00:00,330,1,10844,6,6
242,Multiple_Carriers,Delhi,Cochin,09:00:00,21:00:00,720,1,13587,9,6
243,Spicejet,Chennai,Kolkata,09:45:00,12:00:00,135,0,3543,12,6
244,Vistara,Chennai,Kolkata,07:05:00,09:20:00,135,0,4842,18,3
245,Indigo,Banglore,Delhi,23:30:00,02:20:00,170,0,3943,24,4
246,Jet_Airways,Delhi,Cochin,19:15:00,04:25:00,550,1,10577,9,6
247,Indigo,Delhi,Cochin,10:35:00,21:00:00,625,1,6979,15,5
248,Vistara,Chennai,Kolkata,17:45:00,20:05:00,140,0,11982,27,6
249,Spicejet,Delhi,Cochin,08:45:00,13:15:00,270,1,5264,6,6
250,Vistara,Delhi,Cochin,06:00:00,09:10:00,190,0,8001,3,3
251,Air_India,Delhi,Cochin,19:45:00,19:15:00,1410,2,10651,1,6
252,Jet_Airways,Kolkata,Banglore,16:30:00,19:50:00,1640,1,10844,24,5
253,Multiple_Carriers,Delhi,Cochin,09:45:00,22:20:00,755,1,6601,27,3
254,Air_India,Delhi,Cochin,19:00:00,19:15:00,1455,1,6587,21,3
255,Spicejet,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,3173,21,3
256,Air_India,Banglore,Delhi,10:00:00,12:45:00,165,0,5228,9,5
257,Jet_Airways,Banglore,Delhi,07:10:00,10:10:00,180,0,5769,21,6
258,Jet_Airways,Delhi,Cochin,08:00:00,19:00:00,660,1,14714,6,6
259,Jet_Airways,Delhi,Cochin,05:30:00,19:00:00,810,2,13014,3,6
260,Indigo,Banglore,Delhi,22:10:00,01:00:00,170,0,3359,3,6
261,Goair,Banglore,Delhi,20:55:00,23:50:00,175,0,6722,3,3
262,Indigo,Kolkata,Banglore,09:35:00,12:20:00,165,0,4462,18,3
263,Indigo,Delhi,Cochin,04:55:00,16:10:00,675,1,6171,9,3
264,Air_India,Kolkata,Banglore,05:50:00,20:25:00,875,2,12303,21,5
265,Multiple_Carriers,Delhi,Cochin,11:40:00,01:35:00,835,1,7695,21,3
266,Indigo,Delhi,Cochin,11:25:00,01:30:00,845,1,5684,24,6
267,Air_India,Kolkata,Banglore,16:50:00,07:55:00,905,1,8366,12,6
268,Air_India,Chennai,Kolkata,11:40:00,13:55:00,135,0,19630,1,3
269,Jet_Airways,Banglore,Delhi,14:05:00,05:05:00,900,1,13502,6,3
270,Jet_Airways,Kolkata,Banglore,21:10:00,10:05:00,775,1,14781,1,5
271,Multiple_Carriers,Delhi,Cochin,07:10:00,16:10:00,540,1,6513,12,6
272,Air_India,Delhi,Cochin,07:00:00,19:15:00,735,1,9929,1,6
273,Multiple_Carriers,Delhi,Cochin,17:50:00,01:30:00,460,2,18275,6,6
274,Air_India,Delhi,Cochin,06:05:00,09:25:00,1640,1,4487,9,4
275,Indigo,Mumbai,Hyderabad,21:20:00,22:45:00,85,0,2754,15,3
276,Air_India,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,2575,27,3
277,Spicejet,Kolkata,Banglore,15:55:00,21:25:00,330,1,8224,12,6
278,Air_India,Delhi,Cochin,20:30:00,08:15:00,705,1,8991,9,3
279,Indigo,Delhi,Cochin,05:35:00,08:50:00,195,0,5000,24,6
280,Jet_Airways,Kolkata,Banglore,18:55:00,19:50:00,1495,1,8529,12,6
281,Air_India,Delhi,Cochin,06:05:00,09:25:00,1640,1,14042,3,3
282,Jet_Airways,Banglore,Delhi,11:10:00,14:05:00,175,0,4030,24,5
283,Jet_Airways,Kolkata,Banglore,18:55:00,12:00:00,1025,1,10844,6,6
284,Indigo,Kolkata,Banglore,21:25:00,00:05:00,160,0,4804,6,5
285,Multiple_Carriers,Delhi,Cochin,17:30:00,01:30:00,480,1,7308,27,5
286,Indigo,Banglore,Delhi,16:55:00,19:55:00,180,0,4823,12,5
287,Jet_Airways,Delhi,Cochin,09:00:00,12:35:00,1655,1,10262,24,6
288,Jet_Airways,Delhi,Cochin,20:55:00,04:25:00,450,1,12898,27,5
289,Air_India,Banglore,Delhi,17:25:00,16:20:00,1375,2,12778,12,3
290,Indigo,Delhi,Cochin,04:45:00,13:20:00,515,1,14871,3,3
291,Air_India,Delhi,Cochin,13:20:00,19:15:00,1795,2,8708,21,3
292,Jet_Airways,Kolkata,Banglore,20:00:00,18:15:00,1335,1,10844,6,6
293,Spicejet,Mumbai,Hyderabad,05:45:00,07:05:00,80,0,4129,6,3
294,Indigo,Kolkata,Banglore,21:25:00,00:05:00,160,0,4804,18,5
295,Jet_Airways,Banglore,Delhi,08:20:00,11:20:00,180,0,7229,6,5
296,Jet_Airways,Banglore,Delhi,07:00:00,19:10:00,730,1,7832,21,3
297,Spicejet,Chennai,Kolkata,09:30:00,12:05:00,155,0,3859,18,3
298,Multiple_Carriers,Delhi,Cochin,07:30:00,19:15:00,705,1,9001,6,6
299,Vistara,Banglore,Delhi,17:00:00,19:35:00,155,0,4878,9,5
300,Indigo,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,2754,3,5
301,Vistara,Banglore,Delhi,07:00:00,09:40:00,160,0,4668,27,6
302,Air_Asia,Kolkata,Banglore,10:20:00,12:55:00,155,0,5216,12,5
303,Jet_Airways,Delhi,Cochin,05:30:00,04:25:00,1375,2,10368,6,6
304,Indigo,Delhi,Cochin,06:40:00,21:20:00,880,2,8146,9,3
305,Jet_Airways,Delhi,Cochin,13:00:00,04:25:00,925,1,12242,27,3
306,Jet_Airways,Banglore,Delhi,08:00:00,15:15:00,435,1,9134,15,3
307,Air_India,Delhi,Cochin,13:15:00,09:25:00,1210,2,10939,6,6
308,Air_India,Delhi,Cochin,10:55:00,07:40:00,1245,2,11753,6,6
309,Spicejet,Kolkata,Banglore,17:10:00,19:40:00,150,0,4174,24,4
310,Jet_Airways,Kolkata,Banglore,20:00:00,19:50:00,1430,1,10844,21,5
311,Jet_Airways,Delhi,Cochin,16:00:00,19:00:00,1620,1,14714,3,6
312,Jet_Airways,Kolkata,Banglore,06:30:00,12:00:00,330,1,9899,12,6
313,Indigo,Delhi,Cochin,09:10:00,21:00:00,710,1,14871,3,3
314,Indigo,Chennai,Kolkata,13:20:00,15:35:00,135,0,7295,6,3
315,Air_India,Delhi,Cochin,18:45:00,19:15:00,1470,2,13465,6,6
316,Spicejet,Chennai,Kolkata,17:45:00,20:05:00,140,0,3543,21,5
317,Multiple_Carriers,Delhi,Cochin,19:00:00,01:30:00,390,1,7198,27,6
318,Jet_Airways,Delhi,Cochin,08:00:00,04:25:00,1225,1,10262,1,6
319,Indigo,Kolkata,Banglore,15:20:00,17:55:00,155,0,4148,15,3
320,Jet_Airways,Banglore,Delhi,15:15:00,18:10:00,175,0,8016,27,6
321,Jet_Airways,Delhi,Cochin,22:50:00,04:25:00,335,1,10262,9,6
322,Spicejet,Kolkata,Banglore,14:55:00,17:25:00,150,0,3841,15,6
323,Jet_Airways,Banglore,Delhi,09:45:00,00:30:00,885,1,11507,12,3
324,Jet_Airways,Kolkata,Banglore,08:25:00,20:45:00,740,1,14781,1,5
325,Jet_Airways,Delhi,Cochin,17:30:00,19:00:00,1530,1,16079,27,5
326,Jet_Airways,Delhi,Cochin,22:50:00,04:25:00,335,1,12898,27,5
327,Multiple_Carriers,Delhi,Cochin,07:30:00,19:15:00,705,1,15353,6,3
